DATE_HOUR,Impressions,Conversions
2021-10-14-15,14099,135
2021-10-14-16,34661,244
2021-10-14-17,44128,306
2021-10-14-18,8740,165
2021-10-14-19,45741,221
2021-10-14-20,45662,274
2021-10-14-21,36307,226
2021-10-14-22,14747,189
2021-10-14-23,107921,412
2021-10-15-00,17042,236
2021-10-15-01,52158,527
2021-10-15-02,25296,256
2021-10-15-03,88459,310
2021-10-15-04,45273,514
2021-10-15-05,29549,264
2021-10-15-06,36642,620
2021-10-15-07,47374,328
2021-10-15-08,37482,353
2021-10-15-09,2302,85
2021-10-15-10,7175,184
2021-10-15-11,11179,226
2021-10-15-12,3590,89
2021-10-15-13,8471,155
2021-10-15-14,4961,164
2021-10-15-15,5160,143
2021-10-15-16,50804,281
2021-10-15-17,10217,286
2021-10-15-18,16310,264
2021-10-15-19,95773,504
2021-10-15-20,12840,236
2021-10-15-21,67396,433
2021-10-15-22,26022,389
2021-10-15-23,20498,239
2021-10-16-00,37126,360
2021-10-16-01,74128,405
2021-10-16-02,52753,356
2021-10-16-03,32511,362
2021-10-16-04,93806,837
2021-10-16-05,77539,824
2021-10-16-06,31438,681
2021-10-16-07,52322,680
2021-10-16-08,51662,766
2021-10-16-09,36977,537
2021-10-16-10,15900,436
2021-10-16-11,40818,496
2021-10-16-12,21249,421
2021-10-16-13,20677,453
2021-10-16-14,21497,502
2021-10-16-15,34313,539
2021-10-16-16,21075,585
2021-10-16-17,45591,658
2021-10-16-18,58825,543
2021-10-16-19,24355,525
2021-10-16-20,41486,537
2021-10-16-21,26646,607
2021-10-16-22,92157,515
2021-10-16-23,77306,605
2021-10-17-00,72009,601
2021-10-17-01,32561,485
2021-10-17-02,72857,499
2021-10-17-03,33197,382
2021-10-17-04,68356,537
2021-10-17-05,60841,679
2021-10-17-06,26773,420
2021-10-17-07,39862,497
2021-10-17-08,44281,475
2021-10-17-09,12651,329
2021-10-17-10,17278,380
2021-10-17-11,18714,380
2021-10-17-12,40101,381
2021-10-17-13,24940,376
2021-10-17-14,40120,334
2021-10-17-15,31832,442
2021-10-17-16,53594,493
2021-10-17-17,42812,411
2021-10-17-18,26117,372
2021-10-17-19,78875,552
2021-10-17-20,37061,353
2021-10-17-21,72764,414
2021-10-17-22,27766,413
2021-10-17-23,26111,285
2021-10-18-00,27459,453
2021-10-18-01,21875,400
2021-10-18-02,27202,552
2021-10-18-03,40536,358
2021-10-18-04,20534,201
2021-10-18-05,9875,169
2021-10-18-06,28152,286
2021-10-18-08,16351,358
2021-10-18-09,4954,235
2021-10-18-10,12937,371
2021-10-18-11,3829,296
2021-10-18-12,3328,228
2021-10-18-13,2404,126
2021-10-18-14,25122,192
2021-10-18-15,20923,385
2021-10-18-16,6820,136
2021-10-18-17,25489,284
2021-10-18-18,11171,327
2021-10-18-19,78515,667
2021-10-18-20,66221,499
2021-10-18-21,44786,498
2021-10-18-22,50232,496
2021-10-18-23,32522,416
2021-10-19-00,42022,481
2021-10-19-01,86947,509
2021-10-19-02,31062,519
2021-10-19-03,29256,532
2021-10-19-04,62351,634
2021-10-19-05,37818,481
2021-10-19-06,11716,359
2021-10-19-07,19799,463
2021-10-19-08,25639,475
2021-10-19-09,7449,275
2021-10-19-10,4471,258
2021-10-19-11,47091,268
2021-10-19-12,30435,172
2021-10-19-13,7890,95
2021-10-19-14,14139,197
2021-10-19-15,3920,167
2021-10-19-16,6169,142
2021-10-19-17,12100,262
2021-10-19-18,31901,276
2021-10-19-19,39017,321
2021-10-19-20,13751,217
2021-10-19-21,21048,253
2021-10-19-22,16187,248
2021-10-19-23,17455,203
2021-10-20-00,24035,269
2021-10-20-01,13507,246
2021-10-20-02,80064,269
2021-10-20-03,50638,362
2021-10-20-04,390509,812
2021-10-20-05,41272,322
2021-10-20-06,16930,232
2021-10-20-07,80682,625
2021-10-20-08,36001,424
2021-10-20-09,23455,273
2021-10-20-10,7361,326
2021-10-20-11,22022,365
2021-10-20-12,5344,205
2021-10-20-13,1366,50
2021-10-20-14,2388,76
2021-10-20-15,21268,225
2021-10-20-16,37159,311
2021-10-20-17,27561,230
2021-10-20-18,33042,259
2021-10-20-19,8426,168
2021-10-20-20,43038,333
2021-10-20-21,32266,278
2021-10-20-22,88456,649
2021-10-20-23,40935,252
2021-10-21-00,8739,165
2021-10-21-01,29618,207
2021-10-21-02,26626,251
2021-10-21-03,14951,200
2021-10-21-04,57191,223
2021-10-21-05,39787,344
2021-10-21-06,7564,238
2021-10-21-07,39615,576
2021-10-21-08,40278,572
2021-10-21-09,1751,54
2021-10-21-10,7071,220
2021-10-21-11,22341,333
2021-10-21-12,2792,71
2021-10-21-13,3115,110
2021-10-21-14,2370,103
2021-10-21-15,20801,211
2021-10-21-16,26935,240
2021-10-21-17,29788,267
2021-10-21-18,7557,184
2021-10-21-19,17191,179
2021-10-21-20,34705,197
2021-10-21-21,19484,126
2021-10-21-22,54573,418
2021-10-21-23,113677,448
2021-10-22-00,20344,157
2021-10-22-01,13967,258
2021-10-22-02,9037,137
2021-10-22-03,19124,193
2021-10-22-04,21529,164
2021-10-22-05,30862,268
2021-10-22-06,38675,491
2021-10-22-07,26364,479
2021-10-22-08,30513,392
2021-10-22-09,12946,178
2021-10-22-10,14826,300
2021-10-22-11,15978,355
2021-10-22-12,4164,101
2021-10-22-13,4083,133
2021-10-22-14,16481,240
2021-10-22-15,19942,203
2021-10-22-16,24638,304
2021-10-22-17,29806,312
2021-10-22-18,30540,244
2021-10-22-19,31618,232
2021-10-22-20,9266,191
2021-10-22-21,48804,381
2021-10-22-22,18819,195
2021-10-22-23,48559,258
2021-10-23-00,16718,330
2021-10-23-01,21890,147
2021-10-23-02,39901,350
2021-10-23-03,7873,152
2021-10-23-04,32027,476
2021-10-23-05,44466,501
2021-10-23-06,25184,510
2021-10-23-07,20177,432
2021-10-23-08,34744,483
2021-10-23-09,11045,422
2021-10-23-10,14430,251
2021-10-23-11,12365,421
2021-10-23-12,8294,304
2021-10-23-13,32354,416
2021-10-23-14,10832,284
2021-10-23-15,33921,435
2021-10-23-16,27250,493
2021-10-23-17,14168,333
2021-10-23-18,26378,432
2021-10-23-19,10358,246
2021-10-23-20,11530,279
2021-10-23-21,49310,487
2021-10-23-22,52282,354
2021-10-23-23,49069,355
2021-10-24-00,13958,217
2021-10-24-01,19214,292
2021-10-24-02,29706,391
2021-10-24-03,22862,239
2021-10-24-04,8507,195
2021-10-24-05,6622,145
2021-10-24-06,43890,316
2021-10-24-07,25538,233
2021-10-24-08,39405,476
2021-10-24-09,7163,199
2021-10-24-10,43764,634
2021-10-24-11,9336,307
2021-10-24-12,24342,211
2021-10-24-13,31156,487
2021-10-24-14,18481,237
2021-10-24-15,16385,215
2021-10-24-16,30304,325
2021-10-24-17,16110,233
2021-10-24-18,20741,278
2021-10-24-19,4728,183
2021-10-24-20,27231,207
2021-10-24-21,45428,372
2021-10-24-22,8729,137
2021-10-24-23,112380,785
2021-10-25-00,15839,243
2021-10-25-01,60958,335
2021-10-25-02,62071,711
2021-10-25-03,15941,227
2021-10-25-04,37452,342
2021-10-25-05,29911,390
2021-10-25-06,6457,192
2021-10-25-07,19787,305
2021-10-25-08,25670,465
2021-10-25-09,6624,140
2021-10-25-10,4129,188
2021-10-25-11,5331,195
2021-10-25-12,1862,117
2021-10-25-13,1021,67
2021-10-25-14,1655,39
2021-10-25-15,2805,120
2021-10-25-16,2533,81
2021-10-25-17,3062,71
2021-10-25-18,2925,42
2021-10-25-19,3013,101
2021-10-25-20,3882,125
2021-10-25-21,4719,113
2021-10-25-22,4861,139
2021-10-25-23,6225,140
2021-10-26-00,6941,176
2021-10-26-01,7933,250
2021-10-26-02,6475,188
2021-10-26-03,4795,129
2021-10-26-04,4400,180
2021-10-26-05,2606,82
2021-10-26-06,2109,70
2021-10-26-07,1399,47
2021-10-26-08,1031,49
2021-10-26-09,989,48
2021-10-26-10,932,85
2021-10-26-11,834,50
2021-10-26-12,1196,66
2021-10-26-13,1309,75
2021-10-26-14,1750,54
2021-10-26-15,1577,70
2021-10-26-16,1825,90
2021-10-26-17,2447,36
2021-10-26-18,1915,104
2021-10-26-19,2213,74
2021-10-26-20,3253,67
2021-10-26-21,2894,103
2021-10-26-22,3119,112
2021-10-26-23,4606,136
2021-10-27-00,4735,71
2021-10-27-01,73424,145
2021-10-27-02,6856,134
2021-10-27-03,4303,128
2021-10-27-04,4248,124
2021-10-27-05,2691,46
2021-10-27-06,1922,39
2021-10-27-07,1518,51
2021-10-27-08,746,18
2021-10-27-09,619,27
2021-10-27-10,821,28
2021-10-27-11,1075,47
2021-10-27-12,1137,56
2021-10-27-13,1550,62
2021-10-27-14,1623,41
2021-10-27-15,2116,46
2021-10-27-16,1489,40
2021-10-27-17,2062,43
2021-10-27-18,2080,100
2021-10-27-19,2162,62
2021-10-27-20,3024,83
2021-10-27-21,2574,88
2021-10-27-22,3763,96
2021-10-27-23,3758,120
2021-10-28-00,4675,162
2021-10-28-01,5838,160
2021-10-28-02,4144,149
2021-10-28-03,3696,142
2021-10-28-04,2030,60
2021-10-28-05,1548,35
2021-10-28-06,1144,32
2021-10-28-07,946,33
2021-10-28-08,499,22
2021-10-28-09,428,12
2021-10-28-10,621,8
2021-10-28-11,487,15
2021-10-28-12,481,22
2021-10-28-13,686,9
2021-10-28-14,675,17
2021-10-28-15,807,39
2021-10-28-16,1128,28
2021-10-28-17,1490,33
2021-10-28-18,1666,30
2021-10-28-19,2282,63
2021-10-28-20,1769,43
2021-10-28-21,7710,79
2021-10-28-22,2820,55
2021-10-28-23,2278,53
2021-10-29-00,3774,96
2021-10-29-01,3003,91
2021-10-29-02,2976,75
2021-10-29-03,2591,74
2021-10-29-04,1877,54
2021-10-29-05,1698,69
2021-10-29-06,1568,39
2021-10-29-07,583,26
2021-10-29-08,644,22
2021-10-29-09,443,16
2021-10-29-10,416,32
2021-10-29-11,433,22
2021-10-29-12,648,14
2021-10-29-13,621,10
2021-10-29-14,908,19
2021-10-29-15,1086,50
2021-10-29-16,1445,35
2021-10-29-17,1233,38
2021-10-29-18,1401,42
2021-10-29-19,8807,33
2021-10-29-20,2049,37
2021-10-29-21,2695,49
2021-10-29-22,3814,112
2021-10-29-23,2829,75
2021-10-30-00,3358,146
2021-10-30-01,3196,101
2021-10-30-02,2986,95
2021-10-30-03,4382,105
2021-10-30-04,3473,82
2021-10-30-05,2601,58
2021-10-30-06,1986,57
2021-10-30-07,1515,41
2021-10-30-08,770,9
2021-10-30-09,545,8
2021-10-30-10,595,21
2021-10-30-11,1962,24
2021-10-30-12,938,48
2021-10-30-13,1289,24
2021-10-30-14,1903,46
2021-10-30-15,1461,24
2021-10-30-16,1425,41
2021-10-30-17,2114,39
2021-10-30-18,2382,58
2021-10-30-19,1732,53
2021-10-30-20,3186,70
2021-10-30-21,2833,74
2021-10-30-22,2513,81
2021-10-30-23,4260,62
2021-10-31-00,3740,103
2021-10-31-01,4984,110
2021-10-31-02,5128,120
2021-10-31-03,4073,123
2021-10-31-04,13823,38
2021-10-31-05,2864,50
2021-10-31-06,2345,58
2021-10-31-07,1703,36
2021-10-31-08,685,20
2021-10-31-09,380,23
2021-10-31-10,836,13
2021-10-31-11,428,19
2021-10-31-12,561,6
2021-10-31-13,1316,18
2021-10-31-14,1514,51
2021-10-31-15,1293,40
2021-10-31-16,1522,44
2021-10-31-17,1827,36
2021-10-31-18,1243,18
2021-10-31-19,1033,24
2021-10-31-20,1372,43
2021-10-31-21,3044,121
2021-10-31-22,1746,26
2021-10-31-23,1711,30
2021-11-01-00,2120,35
2021-11-01-01,2253,47
2021-11-01-02,1825,42
2021-11-01-03,2536,57
2021-11-01-04,1271,32
2021-11-01-05,885,26
2021-11-01-06,768,20
2021-11-01-07,316,11
2021-11-01-08,1015,14
2021-11-01-09,275,3
2021-11-01-10,183,10
2021-11-01-11,465,17
2021-11-01-12,429,8
2021-11-01-13,489,4
2021-11-01-14,604,11
2021-11-01-15,976,17
2021-11-01-16,1165,29
2021-11-01-17,649,23
2021-11-01-18,803,11
2021-11-01-19,1998,24
2021-11-01-20,1631,21
2021-11-01-21,1368,21
2021-11-01-22,2135,37
2021-11-01-23,2662,43
2021-11-02-00,2926,50
2021-11-02-01,3789,122
2021-11-02-02,4062,86
2021-11-02-03,1991,52
2021-11-02-04,1639,50
2021-11-02-05,894,14
2021-11-02-06,838,35
2021-11-02-07,631,21
2021-11-02-08,426,21
2021-11-02-09,451,17
2021-11-02-10,278,11
2021-11-02-11,374,15
2021-11-02-12,494,9
2021-11-02-13,570,4
2021-11-02-14,916,33
2021-11-02-15,787,6
2021-11-02-16,1061,7
2021-11-02-17,948,15
2021-11-02-18,916,26
2021-11-02-19,1024,24
2021-11-02-20,1505,13
2021-11-02-21,1497,10
2021-11-02-22,1460,29
2021-11-02-23,1884,38
2021-11-03-00,1920,17
2021-11-03-01,1927,22
2021-11-03-02,1925,26
2021-11-03-03,1953,19
2021-11-03-04,1776,31
2021-11-03-05,1370,9
2021-11-03-06,962,24
2021-11-03-07,653,22
2021-11-03-08,410,13
2021-11-03-09,281,8
2021-11-03-10,459,11
2021-11-03-11,274,8
2021-11-03-12,354,13
2021-11-03-13,403,14
2021-11-03-14,499,9
2021-11-03-15,567,11
2021-11-03-16,525,4
2021-11-03-17,717,20
2021-11-03-18,715,22
2021-11-03-19,777,15
2021-11-03-20,852,12
2021-11-03-21,1260,27
2021-11-03-22,1814,30
2021-11-03-23,3199,33
2021-11-04-00,1759,17
2021-11-04-01,2432,34
2021-11-04-02,2761,33
2021-11-04-03,2173,48
2021-11-04-04,849,28
2021-11-04-05,688,23
2021-11-04-06,539,7
2021-11-04-07,801,20
2021-11-04-08,421,10
2021-11-04-09,294,7
2021-11-04-10,357,8
2021-11-04-11,251,11
2021-11-04-12,156,9
2021-11-04-13,239,3
2021-11-04-14,391,10
2021-11-04-15,338,9
2021-11-04-16,583,21
2021-11-04-17,1218,15
2021-11-04-18,611,17
2021-11-04-19,518,16
2021-11-04-20,905,12
2021-11-04-21,862,12
2021-11-04-22,1573,19
2021-11-04-23,1008,21
2021-11-05-00,1446,41
2021-11-05-01,6954,47
2021-11-05-02,1413,15
2021-11-05-03,3694,28
2021-11-05-04,2173,28
2021-11-05-05,698,26
2021-11-05-06,918,12
2021-11-05-07,736,15
2021-11-05-08,421,7
2021-11-05-09,259,10
2021-11-05-12,145,8
2021-11-05-13,149,7
2021-11-05-14,387,14
2021-11-05-15,492,15
2021-11-05-16,489,15
2021-11-05-17,509,11
2021-11-05-18,590,14
2021-11-05-19,868,15
2021-11-05-20,885,11
2021-11-05-21,818,18
2021-11-05-22,840,27
2021-11-05-23,994,18
2021-11-06-01,1434,24
2021-11-06-02,1987,38
2021-11-06-03,3279,32
2021-11-06-04,3309,35
2021-11-06-05,6013,19
2021-11-06-06,4121,11
2021-11-06-07,1172,21
2021-11-06-08,1053,21
2021-11-06-09,1023,19
2021-11-06-12,741,6
2021-11-06-16,325,35
2021-11-07-02,631,27
2021-11-07-03,1485,48
2021-11-07-04,2186,22
2021-11-07-05,2695,32
2021-11-07-06,1286,27
2021-11-07-07,1480,15
2021-11-07-08,903,13
2021-11-07-09,755,17
2021-11-07-10,845,8
2021-11-07-11,721,11
2021-11-07-12,1251,15
2021-11-07-13,779,16
2021-11-07-14,1154,16
2021-11-07-15,1519,26
2021-11-07-16,1422,25
2021-11-07-17,1510,18
2021-11-07-18,1958,34
2021-11-07-19,1506,12
2021-11-07-20,1909,12
2021-11-07-21,1265,17
2021-11-07-22,1347,26
2021-11-07-23,1495,27
2021-11-08-00,1672,13
2021-11-08-01,1833,30
2021-11-08-02,1379,43
2021-11-08-03,2575,39
2021-11-08-04,4470,17
2021-11-08-05,2004,26
2021-11-08-06,1771,12
2021-11-08-07,1293,9
2021-11-08-08,824,12
2021-11-08-09,491,11
2021-11-08-10,356,7
2021-11-08-11,263,3
2021-11-08-12,148,3
2021-11-08-13,246,4
2021-11-08-14,148,19
2021-11-08-15,214,9
2021-11-08-16,269,8
2021-11-08-17,305,6
2021-11-08-18,3380,20
2021-11-08-19,296,10
2021-11-08-20,944,20
2021-11-08-21,6385,13
2021-11-08-22,5894,21
2021-11-08-23,1041,15
2021-11-09-00,2303,24
2021-11-09-01,2710,10
2021-11-09-02,9421,15
2021-11-09-03,1606,15
2021-11-09-04,2128,13
2021-11-09-05,6404,14
2021-11-09-06,2352,20
2021-11-09-07,696,5
2021-11-09-08,1303,3
2021-11-09-09,430,8
2021-11-09-10,827,5
2021-11-09-11,1023,5
2021-11-09-12,270,10
2021-11-09-13,365,4
2021-11-09-14,502,3
2021-11-09-15,398,4
2021-11-09-16,818,14
2021-11-09-17,691,10
2021-11-10-11,539,16
2021-11-10-12,768,8
2021-11-11-08,1168,11
2021-11-11-09,443,18
2021-11-11-10,1918,11
2021-11-11-11,2856,7
2021-11-11-12,660,11
2021-11-11-13,508,2
2021-11-11-14,1042,5
2021-11-11-15,465,9
2021-11-11-16,533,15
2021-11-11-17,808,7
2021-11-11-18,4208,28
2021-11-11-19,1515,6
2021-11-11-20,2938,12
2021-11-11-21,4048,13
2021-11-11-22,1423,9
2021-11-11-23,1371,21
2021-11-12-00,6553,38
2021-11-12-01,6354,27
2021-11-12-02,9877,16
2021-11-12-03,3653,17
2021-11-12-04,3776,48
2021-11-12-06,10277,20
2021-11-12-07,2061,7
2021-11-12-08,86,7
2021-11-12-09,3595,8
2021-11-12-10,545,16
2021-11-12-11,2139,9
2021-11-12-12,2485,8
2021-11-12-13,306,11
2021-11-12-14,773,11
2021-11-12-15,965,8
2021-11-12-16,277,20
2021-11-12-17,658,11
2021-11-12-18,2684,12
2021-11-12-19,3871,20
2021-11-12-20,811,22
2021-11-12-21,6402,13
2021-11-12-22,1748,4
2021-11-12-23,6212,12
2021-11-13-00,10662,15
2021-11-13-01,1285,14
2021-11-13-02,3759,11
2021-11-13-03,4290,15
2021-11-13-04,2009,56
2021-11-13-05,4478,12
2021-11-13-06,2552,13
2021-11-13-07,5464,16
2021-11-13-08,2048,18
2021-11-13-09,6247,7
2021-11-13-10,1107,4
2021-11-13-11,4267,24
2021-11-13-14,1377,17
2021-11-13-17,440,6
2021-11-13-19,1916,19
2021-11-13-21,1410,24
2021-11-14-05,1074,10
2021-11-14-06,4854,12
2021-11-14-07,2243,11
2021-11-14-08,1729,13
2021-11-14-09,3870,12
2021-11-14-10,2568,11
2021-11-14-11,2212,14
2021-11-14-12,2812,27
2021-11-14-13,903,7
2021-11-14-14,596,21
2021-11-14-15,1343,20
2021-11-14-16,706,24
2021-11-14-17,832,13
2021-11-14-18,3237,21
2021-11-14-19,5081,20
2021-11-14-20,1252,20
2021-11-14-21,6269,24
2021-11-14-22,2227,21
2021-11-14-23,9696,21
2021-11-15-00,2173,23
2021-11-15-01,4838,21
2021-11-15-02,3992,29
2021-11-15-03,1835,3
2021-11-15-04,3123,14
2021-11-15-05,12648,16
2021-11-15-06,1364,10
2021-11-15-07,3326,9
2021-11-15-08,5777,14
2021-11-15-09,455,11
2021-11-15-10,508,1
2021-11-15-11,3278,5
2021-11-15-12,1212,19
2021-11-15-13,156,5
2021-11-15-14,648,3
2021-11-15-15,378,4
2021-11-15-16,232,13
2021-11-15-17,171,11
2021-11-15-18,453,22
2021-11-15-19,3726,20
2021-11-15-20,711,6
2021-11-15-21,839,14
2021-11-15-22,6473,8
2021-11-15-23,871,
2021-11-15-24,5371,
,3879,